id;planoconta_id;tipoinstituicao_id
1;1;1
2;4;1
3;5;1
5;7;1
6;8;1
7;9;1
8;10;1
9;11;1
10;12;1
11;13;1
12;14;1
13;15;1
14;16;1
15;17;1
16;224;1
17;18;1
18;19;1
19;20;1
20;21;1
21;22;1
22;23;1
23;24;1
24;25;1
25;26;1
26;27;1
27;28;1
28;29;1
29;30;1
30;31;1
31;32;1
32;33;1
33;34;1
34;35;1
35;235;1
36;36;1
37;37;1
38;38;1
39;39;1
40;40;1
41;41;1
42;42;1
43;43;1
44;44;1
45;222;1
48;110007;1
49;110008;1
50;110009;1
51;110010;1
52;110011;1
53;110012;1
54;110013;1
55;110014;1
56;110017;1
57;110018;1
58;110019;1
59;110020;1
60;110021;1
61;110022;1
62;110023;1
64;110025;1
65;110026;1
66;110027;1
67;110028;1
68;110029;1
69;110030;1
70;110031;1
71;110032;1
72;110033;1
73;110034;1
74;110035;1
85;2;1
86;45;1
87;46;1
88;47;1
89;48;1
90;49;1
91;50;1
92;51;1
93;63;1
94;64;1
95;84;1
96;86;1
97;87;1
98;118;1
99;119;1
100;120;1
101;121;1
102;65;1
103;123;1
104;124;1
105;130;1
106;110015;1
107;62;1
108;52;1
109;53;1
110;54;1
111;55;1
112;56;1
113;57;1
114;58;1
115;59;1
116;60;1
117;61;1
118;67;1
119;68;1
120;69;1
121;70;1
122;71;1
123;107;1
124;108;1
125;223;1
126;72;1
127;73;1
128;74;1
129;75;1
130;76;1
131;77;1
132;66;1
133;78;1
134;79;1
135;80;1
136;81;1
137;82;1
138;85;1
139;109;1
140;83;1
141;88;1
142;89;1
143;90;1
144;91;1
145;92;1
146;93;1
147;115;1
148;116;1
149;117;1
150;94;1
151;95;1
152;96;1
153;97;1
154;98;1
155;125;1
156;99;1
157;100;1
158;101;1
159;102;1
160;103;1
161;104;1
162;105;1
163;148;1
164;149;1
165;150;1
166;151;1
167;152;1
168;153;1
169;154;1
170;110;1
171;111;1
172;112;1
173;113;1
174;114;1
175;126;1
176;127;1
177;128;1
178;167;1
179;129;1
180;131;1
181;132;1
182;133;1
183;134;1
184;135;1
185;136;1
186;137;1
187;138;1
188;139;1
189;140;1
190;141;1
191;142;1
192;143;1
193;144;1
194;145;1
195;146;1
196;147;1
197;165;1
198;155;1
199;156;1
200;157;1
201;158;1
202;159;1
203;160;1
204;161;1
205;162;1
206;163;1
207;166;1
208;164;1
209;168;1
210;169;1
211;110016;1
212;233;1
213;170;1
215;172;1
216;173;1
217;174;1
218;175;1
219;176;1
220;110046;1
221;110047;1
222;180;1
223;179;1
224;178;1
225;177;1
226;181;1
227;182;1
228;183;1
229;184;1
230;185;1
231;186;1
232;188;1
233;199;1
234;200;1
235;201;1
236;202;1
238;110003;1
239;187;1
240;189;1
241;190;1
242;191;1
243;192;1
244;193;1
245;194;1
246;195;1
247;197;1
248;196;1
249;198;1
250;231;1
251;234;1
252;236;1
253;203;1
254;204;1
255;205;1
256;206;1
257;207;1
258;208;1
259;209;1
260;210;1
261;211;1
262;212;1
263;213;1
264;220;1
265;221;1
266;110004;1
267;214;1
268;215;1
269;216;1
270;217;1
271;218;1
272;219;1
273;226;1
274;227;1
275;229;1
276;228;1
279;110050;1
280;110051;1
281;110052;1
282;110053;1
283;110054;1
284;110055;1
288;110059;1
295;110066;1
302;100001;1
303;100002;1
304;100003;1
305;110001;1
310;3;8
311;3;1
312;3;9
314;37;8
315;37;9
316;38;8
317;38;9
318;39;8
319;39;9
320;40;8
321;40;9
322;41;8
323;41;9
324;110036;9
325;110037;9
326;110038;9
327;110039;9
328;110040;9
329;110041;9
330;110042;9
331;110043;9
332;110044;9
333;110045;9
334;110073;9
335;222;9
336;44;8
337;44;9
338;222;8
339;43;8
340;43;9
341;110074;8
342;110074;1
343;110074;9
344;110075;8
345;110075;9
346;110076;8
347;110076;9
348;110077;8
349;110077;9
350;110078;8
351;110078;9
352;110005;8
353;110005;9
354;110006;8
355;110006;9
360;110079;8
361;110079;9
362;110036;8
363;110080;8
364;110080;9
365;110081;8
366;110081;9
367;45;8
368;45;9
369;46;8
370;46;9
371;47;8
372;47;9
373;48;8
374;48;9
375;45;2
376;45;3
377;45;6
378;46;2
379;46;3
380;46;6
381;47;2
382;47;3
383;47;6
384;49;8
385;49;9
386;49;2
387;49;3
