id;cadastrado_em;modificado_em;excluido;nome;instituicao_id;ativo;bairro;cep;cidade;codigo_host;codigo_host_igreja;complemento;data_abertura;ddd;email;endereco;host_dirigente;numero;pais;site;telefone;uf;data_extincao
2;2016-09-21 19:17:26.818387+00;2016-09-21 19:17:57.134141+00;true;TESTE 2;1;true;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0
1;2016-09-19 21:05:49.917393+00;2016-09-29 05:37:33.476227+00;true;Congregação do 24 de Maio;1;true;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0
5;2016-10-20 14:04:35.936372+00;2016-10-20 14:04:47.173715+00;true;missoes;1;true;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0
6;2016-10-21 20:00:37.344564+00;2016-10-21 20:20:44.125482+00;true;Congregação Val Paraíso;1;true;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0
8;2016-10-26 13:21:06.971798+00;2016-10-26 13:21:07.00015+00;false;Congregação de Imbariê;16;true;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0
10;2016-11-30 23:16:32.609533+00;2016-11-30 23:16:32.649894+00;false;VILA ANTONIETA;2686;true;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0
65;2017-01-04 19:36:25.349021+00;2017-01-05 14:06:33.770377+00;false;São Caetano;2330;true;Cabugá;5513000;São Caetano;329;109;;11/06/2011;81;;R. Presidente Médice;Presbitero Manuel Bento da Silva;1002;BR;;91183329;PE;\0
68;2017-01-04 19:36:25.436801+00;2017-01-05 14:06:33.815746+00;false;Fazenda Inglesa;2007;true;;;;109;222;;\0;;;;;;BR;;;;\0
72;2017-01-04 19:36:25.547563+00;2017-01-05 14:06:33.867197+00;false;Potim;2441;true;Jardim Alvorada;12520000;Potim;14;267;;\0;;;Av. Minas Gerais;;254;BR;;;SP;\0
73;2017-01-04 19:36:25.567259+00;2017-01-05 14:06:33.879739+00;false;Parque Aeroporto;2441;true;Parque Aeroporto;12051370;Taubaté;15;267;;\0;;;Rua Nicolau Surnim;;363;BR;;;SP;\0
74;2017-01-04 19:36:25.587212+00;2017-01-05 14:06:33.892283+00;false;Bairro São Felix;2379;true;São Felix;46650000;Barra da Estiva;138;320;Salão ;23/11/2008;77;fabioborio02@yahoo.com.br;Avenida Antonio Carlos Magalhães;Dca. Zenilda Gomes;s/n;BR;;;BA;\0
53;2017-01-02 13:59:59.443983+00;2017-01-06 16:51:51.278161+00;true;IMW SOCORRO;2143;true;;;;\0;\0;;\0;;;;;;\0;;;\0;\0
76;2017-01-04 19:36:25.625979+00;2017-01-15 14:14:27.896308+00;false;Santos;2133;false;;;;20;562;;\0;;;;;;BR;;;SP;\0
45;2017-01-01 18:13:20.48486+00;2017-01-25 07:14:53.334258+00;false;Proabe;2304;false;;;;\0;\0;;\0;;;;;;\0;;;\0;\0
83;2017-01-04 19:36:25.766013+00;2017-02-08 13:51:06.515694+00;false;SÃO PAULO;2404;false;São Paulo;;Governador Valadares;672;408;;11/12/2010;33;imwsd@hotmail.com;João Dias Duarte;Pr. Freed;1163;BR;;32774510;MG;\0
87;2017-01-04 19:36:25.845179+00;2017-01-05 14:06:34.056018+00;false;Congregação Serrinha;2257;true;Serrinha;28360000;Bom Jesus do Itabapoana;904;63;;\0;;;Rua São José;Pastor José Rezende Junior;780;BR;;;RJ;\0
90;2017-01-04 19:36:25.904416+00;2017-01-05 14:06:34.093337+00;false;Grama;2243;true;Grama;26061130;Miguel Couto;43;98;Antiga Bel;11/08/2005;21;;Rua: Tenente Pedro Simões de Lima  ;Aspirante Elias Neves;115;BR;;26980788;RJ;\0
97;2017-01-04 19:36:26.050005+00;2017-01-05 14:06:34.182034+00;false;Posse dos Coutinhos;2268;true;Posse dos Coutinhos;24870000;Tanguá;49;92;Templo;10/12/1997;21;;Rua Alexandre Souza;Presbítero José Pereira Bragança;s/n;BR;;27368542;RJ;\0
98;2017-01-04 19:36:26.069744+00;2017-02-10 21:40:27.529102+00;false;IMW CANTINHO DO CEU;2229;true;Cantinho do Ceu;28950000;CABO FRIO;1145;79;loja;16/01/2015;22;cezaramw@hotmail.com;Rua Genesis;PRESBITERO MARCIO MOTTA;5;BR;;26444131;RJ;\0
75;2017-01-04 19:36:25.606799+00;2017-10-18 14:19:05.626285+00;false;Florença;2435;false;Florença;33825080;Ribeirão das Neves;817;260;;04/02/2012;;;Rua Arlindo Albino de Souza;Pr. Ronildo Amaral;241;BR;;;MG;\0
3;2016-09-30 22:26:17.493459+00;2018-01-13 00:54:46.669109+00;false;Congregação Numero Um;1;true;;;;\0;\0;;\0;;;;;;\0;;;\0;\0
32;2016-12-26 18:19:50.454397+00;2018-02-16 19:50:02.380108+00;true;Congregação Morada do Sol;2689;true;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0
11;2016-11-30 23:16:41.176159+00;2018-03-06 16:05:33.271011+00;false;VILA JUSSARA;2686;false;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;\0;01/01/2018
69;2017-01-04 19:36:25.466088+00;2018-03-06 16:05:53.957647+00;false;Vila Jussara;2130;false;Itaquera;8215400;São Paulo;11;542;;13/12/1996;;;Rua São Franscico do Piaui;Evangelista Emerson Duarte;360;BR;;;SP;01/01/2018
85;2017-01-04 19:36:25.805308+00;2018-09-21 07:10:22.502862+00;false;Cidade de Deus;2266;true;Jacarepaguá;22772370;Rio de Janeiro;31;71;;30/10/2001;21;;Rua Carmelo;Presbítero Jan Carlos Felix de Souza;19;BR;;;RJ;\0
67;2017-01-04 19:36:25.406853+00;2019-01-28 06:04:34.601437+00;false;Funil;2055;false;;;Guiricema;1060;339;;\0;;;;;;BR;;;\0;\0
102;2017-01-04 19:36:26.148774+00;2019-01-24 18:52:05.348583+00;false;IBIRAJÁ;2105;true;CENTRO;45970000;Itanhém;885;389;Distrito de Ibirajá;22/04/2012;;;AVENIDA ORCAR CARDOSO;Romildo Vieira;;BR;;;BA;\0
64;2017-01-04 19:36:25.32059+00;2019-01-28 18:44:02.940728+00;false;Frente Missionária em Itapuca;2004;false;Itapuca;;Resende;1191;219;;01/01/2016;;;Rua Inácio Lopes Siqueira;;861;BR;;;RJ;\0
70;2017-01-04 19:36:25.495446+00;2019-02-05 13:55:58.811207+00;false;Vila Antonieta;2130;true;Vila Antônieta;;São Paulo;12;542;;\0;;;Rua Monte Cardoso;Pr Elias Machado;698;BR;;;SP;\0
124;2017-01-04 19:36:26.674938+00;2021-01-10 00:49:22.429246+00;false;Ivurarema;1902;true;Inhaúma;20766120;Rio de Janeiro;81;11;;\0;;;Rua Ivurarema;Presbítero Fernando Machado Moreira;286;BR;;;RJ;\0
77;2017-01-04 19:36:25.645682+00;2019-10-02 13:17:56.323522+00;true;Loteamento Samambaia;2228;true;Loteamento Samambaia;25710372;Petrópolis;22;24;;\0;;;Rua Ercides José Estrela;-;25;BR;;;RJ;\0
71;2017-01-04 19:36:25.523426+00;2020-05-28 20:10:14.10978+00;false;CONGREGAÇÃO DO CADEIA VELHA;2263;false;;;;896;808;;\0;68;;;;60;BR;;;AC;\0
82;2017-01-04 19:36:25.745653+00;2020-08-06 18:03:11.483908+00;false;Bairro Leonardo;2053;false;;;;28;270;;\0;;;;Paulo Marcio Severo;;BR;;;MG;\0
108;2017-01-04 19:36:26.26898+00;2017-01-05 14:06:34.319437+00;false;Vila Maria;2082;true;Vila Maria;;São Paulo;64;517;;\0;;;Rua Canapolis;Pb. José Fernando dos Santos;400;BR;;;SP;\0
1045;2017-10-28 01:59:29.155324+00;2021-11-01 02:24:29.981876+00;false;Danielle Almeida Alves Fortunato;2666;false;;;;\0;\0;;\0;;;;;;\0;;;\0;\0
104;2017-01-04 19:36:26.188578+00;2021-05-10 02:00:59.305436+00;false;Congregação do  Santa Rosa;2110;true;Santa rosa;;Colinas;977;386;Av Paraná;09/04/2009;63;;Rua Florianopolis;Jose leandro da Cruz;;BR;;84 357458;TO;\0
119;2017-01-04 19:36:26.57982+00;2017-01-05 14:06:34.468184+00;false;campo novo;2677;true;centro;;campo novo;1183;1156;;\0;69;sergiofaisca1@hotmail.com;;Evangelista Marcelo;;BR;;35466338;;\0
95;2017-01-04 19:36:26.009967+00;2022-02-14 20:34:24.952257+00;false;Areal;2268;true;Areal;24800000;Itaboraí;47;92;Salão;10/02/2005;21;;Rua Carlos Lacerda;Presbítero Adriano Rodrigues;s/n;BR;;36 373265;RJ;\0
103;2017-01-04 19:36:26.168615+00;2022-02-15 13:14:54.125141+00;false;Santo Agostinho;2210;false;Santo Agostinho;27291190;Volta Redonda;58;60;;\0;;;Rua Uberaba;Pr. Elias Ribeiro Cristino;54;BR;;;RJ;\0
101;2017-01-04 19:36:26.129099+00;2022-02-15 13:15:10.605016+00;false;Vila Americana;2210;false;Jardim Redentor;27290100;Barra Mansa;56;60;;\0;;;Rua Costa Rica;Pr. Luiz Carlos Nazaré Matias;68;BR;;;RJ;\0
89;2017-01-04 19:36:25.884694+00;2022-05-04 00:46:35.784404+00;false;SANTO ELIAS;2281;false;JACUTINGA;26562100;MESQUITA;941;70;;\0;;;RUA POLICARPO;MINISTRO PARCIAL ARTUR AMÂNCIO NETO SEGUNDO;340;BR;;;RJ;\0
91;2017-01-04 19:36:25.92405+00;2017-01-31 18:40:05.803211+00;false;Siméria;2223;true;Siméria;25645090;Petrópolis;44;31;;\0;24;leonardommorada@gmail.com;Rua Manuel Francisco de Paula;Pr. Leonardo Morada;250;BR;;981292061;RJ;\0
125;2017-01-04 19:36:26.693876+00;2017-01-17 10:38:35.303879+00;false;Caioaba;2226;false;Caioaba;;Nova Iguaçu;82;93;;\0;;;;Pb Marco;;BR;;;RJ;\0
62;2017-01-04 19:36:25.276713+00;2023-02-04 14:18:13.527204+00;false;Jardim Nova Vida;1911;true;Jardim Nova Vida;26361310;Nova Iguaçu;1221;102;Lote 02,;02/10/2016;;;Rua Flávia Regina Lins;Presbítero Jósimo Ferreira Passos;S/Nº;BR;;;RJ;\0
106;2017-01-04 19:36:26.228608+00;2022-10-10 12:26:47.049462+00;false;PARQUE MAIRA;2234;false;PARQUE MAIRA;27137000;PINHEIRAL;63;26;;\0;24;imwmontecastelo@gmail.com;RUA NOVA JERUSALÉM;PASTOR FRANCISCO DE ASSIS CARDOSO;27;BR;;33 429862;RJ;\0
81;2017-01-04 19:36:25.725516+00;2023-02-24 02:03:27.97497+00;false;Jardim Corisco;2432;false;;;;26;246;;\0;;;;Pr. Bercker;;\0;;;SP;\0
66;2017-01-04 19:36:25.377793+00;2023-05-05 21:23:57.617606+00;false;Jardim Paraíso;1911;false;Jardim Paraíso;;Nova Iguaçu;328;102;;\0;;;;Presbítero André Luiz da Conceição;;BR;;;RJ;\0
84;2017-01-04 19:36:25.785768+00;2023-06-21 03:02:55.571395+00;false;Bairro Gaspar;2081;true;Gaspar;36880000;Muriaé;581;336;parte alta;02/10/2007;;;R. Valdivey Fagundes;Evandro Maximino Lopes;20;BR;;;MG;\0
140;2017-01-04 19:36:26.981311+00;2017-01-12 15:21:13.384761+00;false;Angelica II;2087;true;Jardim Angelica;7260450;Guarulhos;490;550;;01/08/2006;11;;Rua Campo Mourão;Pastor Jeová Agripino Santos;35;BR;;24433053;SP;\0
137;2017-01-04 19:36:26.920534+00;2017-01-05 14:06:34.778118+00;false;CANDELÁRIA;2346;true;Candelária;27285660;Volta Redonda;95;58;;06/11/2005;;;RUA F;PR. JOSÉ DE PAULA SERRA;137;BR;;;RJ;\0
139;2017-01-04 19:36:26.961096+00;2017-01-05 14:06:34.808444+00;false;Guamiranga;2371;true;;;;618;591;;01/11/2009;43;pr.marciopereira@hotmail.com;;Pb. Carlos Fagundes;;BR;;35462437;PR;\0
144;2017-01-04 19:36:27.062668+00;2017-01-13 03:11:25.403402+00;false;PONT EV.PARACAMBI-RJ;1986;false;;;PARACAMBI;1088;192;;20/06/2014;;;;PR.CARLOS ROBERTO LORENA( FALIDA EM JUNHO 2015 E DEIXADA COM 2 MEMBROS);;BR;;;RJ;\0
138;2017-01-04 19:36:26.940001+00;2017-02-11 15:14:00.824425+00;false;AÇUDE;2346;false;AÇUDE;27276080;VOLTA REDONDA;96;58;;01/01/1998;;;RUA GLORIA ROUSSIN GUEDES;PR. ROBSON DOMINGOS;177;BR;;;RJ;\0
94;2017-01-04 19:36:25.989697+00;2017-05-09 17:55:07.974121+00;false;Rio de Janeiro;2223;true;Rio de Janeiro;;Petrópolis;46;31;;01/01/2009;24;;Rua Paraná;Asp. Anderson Almeida;;BR;;992138154;RJ;\0
93;2017-01-04 19:36:25.968472+00;2017-07-03 16:14:40.342919+00;false;Bricio de Abreu;2240;false;Praça Seca;21321020;Rio de Janeiro;42;75;;07/09/1993;21;;Rua Bricio de Abreu;;291;BR;;;RJ;\0
147;2017-01-04 19:36:27.121304+00;2017-01-05 14:06:34.927708+00;false;Zona Sul;2172;true;Passo das Pedras;;Bagé;1113;563;;01/05/2015;;;Rua Cantidio de Quadros;Anderson de Brito;730;BR;;;RS;\0
148;2017-01-04 19:36:27.140679+00;2017-01-05 14:06:34.941155+00;false;Congregacao Porvenir;2178;true;Porvenir;3600;Formosa;877;901;;10/08/2011;;;"manzana, ""F""";Diaconisa Sivina monge;16;AR;;;;\0
111;2017-01-04 19:36:26.357161+00;2018-01-06 12:27:17.890997+00;false;Rio da Prata;1920;false;Campo Grande;23017470;RIO DE JANEIRO;68;115;Rio da Pra;\0;;;Caminho do Morro dos Caboclo;Presbitero Alfredo Antonio de Oliveira Jr;230;BR;;;RJ;\0
116;2017-01-04 19:36:26.52079+00;2018-09-25 16:46:09.834915+00;false;Vila Caraípe;2106;true;Vila Caraípe;45997180;Teixeira de Freitas;73;382;;08/03/2009;73;sededistritalimwtx@outlook.com;RUA FERNÃO DIAS;Pb. Adeilson Paiva;120;BR;;32917912;BA;\0
115;2017-01-04 19:36:26.498207+00;2019-01-23 20:51:17.699114+00;false;Kaikan;2106;false;Kaikan;45995000;Teixeira de Freitas;72;382;;21/12/2008;73;prcarlosandra@gmail.com;Rua Turquesa;Pr. Carlos Alberto Andrade;49;BR;;739926061;BA;16/12/2018
109;2017-01-04 19:36:26.289609+00;2018-10-25 13:39:50.747153+00;false;Mairiporã;2082;false;Centro;7600000;Mairiporã;65;517;Terreo;17/03/2003;11;;Av.Leonor de Oliveira;Pr.  Danilo Buccini;92;BR;;8750772;SP;\0
130;2017-01-04 19:36:26.789011+00;2018-10-31 13:32:47.258373+00;false;Santa Inês;1932;true;Santa Inês;27255003;Barra Mansa;87;127;Santa Inês;21/08/1999;24;wesleyanasaolucas1968@gmail.com;Rua Heckel Tavares;PB. SIDNEY VARGAS;108;BR;;33434296;RJ;\0
151;2017-01-04 19:36:27.201163+00;2018-11-05 16:32:37.416996+00;false;Areal;2209;false;Areal, Centro;;Areal;355;42;ao lado do;31/08/2009;;;Praça Castelo Branco;Aspirante Jorge;421;BR;;;RJ;\0
168;2017-01-04 19:36:27.556266+00;2017-02-23 22:27:30.74767+00;false;Fonte de Bençãos;1979;true;Campo Grande;;Rio de Janeiro;145;182;São Jorge;\0;;;Rua Aldo Botelho;Pastor Marcelo Fulgoni Gabeiras;257;BR;;;RJ;\0
