id;cadastrado_em;modificado_em;nome;posicao;numeracao;tipo;conta_pai_id;excluido;selecionavel;essencial
110153;2018-08-21 13:55:00.132433+00;2018-08-21 13:55:00.132469+00;ACAMPAMENTOS - Cantina;10902;1.09.02;E;110151;false;true;false
110152;2018-08-21 13:51:00.997309+00;2018-08-21 13:51:00.997344+00;ACAMPAMENTOS - Eventos;10901;1.09.01;E;110151;false;true;false
110154;2018-08-21 13:56:22.38012+00;2018-08-21 13:56:22.380154+00;ACAMPAMENTOS - Expositores;10903;1.09.03;E;110151;false;true;false
110156;2018-08-21 14:01:33.179579+00;2018-08-21 14:18:05.074998+00;ACAMPAMENTOS - Livraria;10905;1.09.05;E;110151;false;true;false
110155;2018-08-21 13:59:55.318714+00;2018-08-21 13:59:55.31875+00;ACAMPAMENTOS - Restaurante;10904;1.09.04;E;110151;false;true;false
110180;2020-03-13 16:32:46.556578+00;2020-03-13 17:17:57.388641+00;ACAMPAMENTOS - Taxa de Ocupação;10906;1.09.06;E;110151;false;true;false
110151;2018-08-21 13:50:10.533241+00;2018-08-21 13:51:18.184012+00;ACAMPAMENTOS e CENTROS DE CONVENÇÕES;109;1.09;E;1;false;false;false
110027;2016-10-24 13:40:41.754526+00;2016-10-25 22:27:51.592598+00;AJUDA A BISPOS JUBILADOS - 1 REGIÃO;11210;1.12.10;E;110024;true;true;false
110028;2016-10-24 13:41:18.131659+00;2016-10-25 22:27:59.61855+00;AJUDA A BISPOS JUBILADOS - 2 REGIÃO;11211;1.12.11;E;110024;true;true;false
110029;2016-10-24 13:41:39.006256+00;2016-10-25 22:28:31.338145+00;AJUDA A BISPOS JUBILADOS - 3 REGIÃO;11212;1.12.12;E;110024;true;true;false
110030;2016-10-24 13:42:11.962144+00;2016-10-25 22:28:37.998726+00;AJUDA A BISPOS JUBILADOS - 4 REGIÃO;11213;1.12.13;E;110024;true;true;false
110031;2016-10-24 13:42:38.020361+00;2016-10-25 22:28:44.881788+00;AJUDA A BISPOS JUBILADOS - 5 REGIÃO;11214;1.12.14;E;110024;true;false;false
110032;2016-10-24 13:43:01.507805+00;2016-10-25 22:28:53.837347+00;AJUDA A BISPOS JUBILADOS - 6 REGIÃO;11215;1.12.15;E;110024;true;true;false
110033;2016-10-24 13:43:20.789712+00;2016-10-25 22:29:10.312018+00;AJUDA A BISPOS JUBILADOS - 7 REGIÃO;11216;1.12.16;E;110024;true;true;false
110034;2016-10-24 13:43:56.888519+00;2016-10-25 22:29:16.925372+00;AJUDA A BISPOS JUBILADOS - 8 REGIÃO;11217;1.12.17;E;110024;true;true;false
110035;2016-10-24 13:44:25.863915+00;2016-10-25 22:29:24.60399+00;AJUDA A BISPOS JUBILADOS - SGAS;11220;1.12.20;E;110024;true;true;false
