id;cadastrado_em;modificado_em;excluido;data_hora;total_entradas;total_saidas;saldo_anterior;saldo_final;estorno;auditado;caixa_id;instituicao_id;ano;mes;total_transf_entradas;total_transf_saidas;aux_data_hora;aux_saldo_anterior;aux_saldo_final;aux_total_entradas;aux_total_saidas;aux_total_transf_entradas;aux_total_transf_saidas
209794;2024-01-01 04:57:40.860199+00;2024-01-01 04:57:40.86025+00;false;2023-12-01 03:00:00+00;8320,33;9467,99;20335,33;19187,67;false;false;5088;2784;2023;12;0;0;\0;0;0;0;0;0;0
209795;2024-01-01 05:03:10.073326+00;2024-01-01 05:03:10.073377+00;false;2023-12-01 03:00:00+00;301;166;363,97;135;false;false;2234;2195;2023;12;0;363,97;\0;0;0;0;0;0;0
209796;2024-01-01 05:03:10.084637+00;2024-01-01 05:03:10.084679+00;false;2023-12-01 03:00:00+00;4973,44;5470,57;752,62;619,46;false;false;3752;2195;2023;12;363,97;0;\0;0;0;0;0;0;0
209797;2024-01-01 11:38:21.118192+00;2024-01-01 11:38:21.118253+00;false;2023-12-01 03:00:00+00;38842,93;43283,87;83947,58;79506,64;false;false;2251;2212;2023;12;0;0;\0;0;0;0;0;0;0
209798;2024-01-01 11:56:39.18383+00;2024-01-01 11:56:39.183882+00;false;2023-12-01 03:00:00+00;5613,8;4472,65;1828,61;1769,76;false;false;2105;2066;2023;12;0;1200;\0;0;0;0;0;0;0
209799;2024-01-01 11:56:39.196562+00;2024-01-01 11:56:39.196607+00;false;2023-12-01 03:00:00+00;12392,21;13810,33;27666,9;27448,78;false;false;4461;2066;2023;12;1200;0;\0;0;0;0;0;0;0
209800;2024-01-01 12:48:39.718924+00;2024-01-01 12:48:39.71896+00;false;2023-12-01 03:00:00+00;4637,1;4208,71;6712,41;7140,8;false;false;2259;2220;2023;12;0;0;\0;0;0;0;0;0;0
209801;2024-01-01 13:44:43.399262+00;2024-01-01 13:44:43.399293+00;false;2023-12-01 03:00:00+00;11288,48;10224,75;1974,05;3037,78;false;false;2468;2429;2023;12;0;0;\0;0;0;0;0;0;0
209812;2024-01-01 14:41:01.358518+00;2024-01-01 14:41:01.358612+00;false;2023-12-01 03:00:00+00;4470,85;7810,82;10836,81;7496,84;false;false;2003;1964;2023;12;0;0;\0;0;0;0;0;0;0
209813;2024-01-01 14:41:01.37+00;2024-01-01 14:41:01.370045+00;false;2023-12-01 03:00:00+00;2833,7;5348,16;4711,47;2197,01;false;false;6084;1964;2023;12;0;0;\0;0;0;0;0;0;0
209814;2024-01-01 14:48:16.622321+00;2024-01-01 14:48:16.622369+00;false;2023-12-01 03:00:00+00;1578,5;1758,26;1135,84;956,08;false;false;2244;2205;2023;12;0;0;\0;0;0;0;0;0;0
209815;2024-01-01 14:54:21.513749+00;2024-01-01 14:54:21.51379+00;false;2023-12-01 03:00:00+00;2220;2645,54;2520,17;2094,63;false;false;1931;1892;2023;12;0;0;\0;0;0;0;0;0;0
209816;2024-01-01 14:54:21.524344+00;2024-01-01 14:54:21.524378+00;false;2023-12-01 03:00:00+00;4399,4;3885,7;732,74;1246,44;false;false;2912;1892;2023;12;0;0;\0;0;0;0;0;0;0
