id;cadastrado_em;modificado_em;nome;tipo_instituicao_id;instituicao_pai_id;excluido;codigo_host;ativo;bairro;caw;cep;cidade;cnpj;complemento;data_abertura;ddd;email;endereco;inss;nome_fantasia;numero;pais;site;telefone;uf;pastor;tesoureiro
962;2016-11-07 21:44:28.483116+00;2016-11-07 21:44:28.483197+00;0 REGIÃO;3;12;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
13;2016-09-14 23:06:47.754362+00;2021-06-17 21:55:06.919679+00;1 REGIÃO;3;12;false;\0;true;;false;;;;;\0;;;;false;IGREJA METODISTA WESLEYANA NA PRIMEIRA REGIÃO;;;;;;;
17;2016-09-16 15:42:37.887734+00;2016-09-16 15:42:37.887772+00;2 REGIÃO;3;12;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
2809;2019-12-06 01:43:19.995026+00;2019-12-06 01:43:19.99507+00;2RE - IGREJAS FECHADAS - 2019;2;17;false;\0;true;;false;;;;;\0;;;;false;;;;;;;\0;\0
18;2016-09-16 15:42:58.786393+00;2016-09-16 15:42:58.786435+00;3 REGIÃO;3;12;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
19;2016-09-16 15:43:38.466888+00;2016-09-16 15:43:38.466926+00;4 REGIÃO;3;12;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
22;2016-09-16 19:53:46.909031+00;2016-09-16 19:53:46.909065+00;5 REGIÃO;3;12;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
23;2016-09-16 19:54:09.526268+00;2016-09-16 19:54:09.526311+00;6 REGIÃO;3;12;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
24;2016-09-16 19:54:23.615571+00;2016-09-16 19:54:23.615613+00;7 REGIAO;3;12;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
25;2016-09-16 19:54:39.415071+00;2016-09-16 19:54:39.415116+00;8 REGIAO;3;12;false;\0;true;\0;false;\0;\0;\0;\0;\0;\0;\0;\0;false;\0;\0;\0;\0;\0;\0;\0;\0
