id;cadastrado_em;modificado_em;excluido;codigo_host;data_nomeacao;data_termino;hist_distrito_id;hist_geral_id;hist_igreja_id;hist_orgao_id;hist_regiao_id;hist_secretaria_id;instituicao_id;pessoa_id;funcao_ministerial_id
39;2016-11-11 19:02:41.491555+00;2016-11-11 19:02:41.491621+00;false;\0;01/12/2014;\0;1796;\0;\0;\0;18;\0;1796;165;\0
59;2016-11-11 19:02:42.418216+00;2016-11-11 19:02:42.418252+00;false;\0;01/12/2014;\0;1818;\0;\0;\0;23;\0;1818;81;\0
66;2016-11-11 19:02:42.785934+00;2016-11-11 19:02:42.785971+00;false;\0;01/12/2014;\0;1827;\0;\0;\0;17;\0;1827;1309;\0
80;2016-11-11 19:02:43.376809+00;2016-11-11 19:02:43.376843+00;false;\0;01/12/2014;\0;1842;\0;\0;\0;19;\0;1842;1033;\0
81;2016-11-11 19:02:43.41926+00;2016-11-11 19:02:43.41929+00;false;\0;01/12/2014;\0;1843;\0;\0;\0;19;\0;1843;1034;\0
82;2016-11-11 19:02:43.457686+00;2016-11-11 19:02:43.45772+00;false;\0;01/12/2014;\0;1844;\0;\0;\0;19;\0;1844;1034;\0
17;2016-11-11 19:02:40.533056+00;2016-12-22 19:03:02.379616+00;true;\0;01/12/2014;\0;1774;\0;\0;\0;13;\0;1774;612;\0
60;2016-11-11 19:02:42.457235+00;2017-01-03 19:24:26.972648+00;true;\0;01/12/2014;\0;1819;\0;\0;\0;23;\0;1819;402;\0
43;2016-11-11 19:02:41.669113+00;2017-01-06 19:43:34.517683+00;true;\0;01/12/2014;\0;1800;\0;\0;\0;18;\0;1800;146;\0
97;2016-11-11 19:02:44.099831+00;2017-01-06 22:55:04.684448+00;true;\0;01/12/2014;\0;1861;\0;\0;\0;13;\0;1861;615;\0
1;2016-11-11 19:02:39.7357+00;2017-01-06 22:55:56.567605+00;true;\0;01/12/2014;\0;1758;\0;\0;\0;13;\0;1758;593;\0
20;2016-11-11 19:02:40.69493+00;2017-01-06 22:57:09.332516+00;true;\0;01/12/2014;\0;1777;\0;\0;\0;13;\0;1777;23;\0
76;2016-11-11 19:02:43.215973+00;2017-01-06 22:58:34.244358+00;true;\0;01/12/2014;\0;1838;\0;\0;\0;13;\0;1838;26;\0
95;2016-11-11 19:02:43.990383+00;2017-01-06 22:58:39.348563+00;true;\0;01/12/2014;\0;1858;\0;\0;\0;13;\0;1858;26;\0
3;2016-11-11 19:02:39.822538+00;2017-01-06 23:00:07.620966+00;true;\0;01/12/2014;\0;1760;\0;\0;\0;13;\0;1760;405;\0
94;2016-11-11 19:02:43.952068+00;2017-01-06 23:01:33.780069+00;true;\0;01/12/2014;\0;1857;\0;\0;\0;13;\0;1857;82;\0
9;2016-11-11 19:02:40.073188+00;2017-01-06 23:25:27.710951+00;true;\0;01/12/2014;\0;1766;\0;\0;\0;13;\0;1766;636;\0
22;2016-11-11 19:02:40.790396+00;2017-01-06 23:26:44.027258+00;true;\0;01/12/2014;\0;1779;\0;\0;\0;13;\0;1779;76;\0
13;2016-11-11 19:02:40.278168+00;2017-01-06 23:30:24.049631+00;true;\0;01/12/2014;\0;1770;\0;\0;\0;13;\0;1770;14;\0
18;2016-11-11 19:02:40.596112+00;2017-01-06 23:33:49.430826+00;true;\0;01/12/2014;\0;1775;\0;\0;\0;13;\0;1775;406;\0
79;2016-11-11 19:02:43.334936+00;2017-01-06 23:36:32.082607+00;true;\0;01/12/2014;\0;1841;\0;\0;\0;13;\0;1841;50;\0
30;2016-11-11 19:02:41.135027+00;2017-01-07 21:48:34.411371+00;true;\0;01/12/2014;\0;1787;\0;\0;\0;17;\0;1787;349;\0
40;2016-11-11 19:02:41.537564+00;2017-01-09 14:24:59.691282+00;false;\0;26/01/1996;\0;1794;\0;\0;\0;18;\0;1794;144;6
71;2016-11-11 19:02:43.021287+00;2017-01-09 14:49:21.429587+00;false;\0;10/12/2016;\0;1794;\0;2158;\0;18;\0;2158;172;11
44;2016-11-11 19:02:41.712695+00;2017-01-09 16:47:53.292849+00;true;\0;01/12/2014;\0;1801;\0;\0;\0;18;\0;1801;199;\0
34;2016-11-11 19:02:41.292061+00;2017-01-29 11:44:17.144934+00;true;\0;01/12/2014;\0;1791;\0;\0;\0;25;\0;1791;365;\0
25;2016-11-11 19:02:40.928678+00;2017-01-29 11:56:38.547641+00;true;\0;01/12/2014;\0;1782;\0;\0;\0;17;\0;1782;451;\0
16;2016-11-11 19:02:40.47132+00;2017-02-07 11:31:35.776695+00;true;\0;01/12/2014;\0;1773;\0;\0;\0;23;\0;1773;382;\0
70;2016-11-11 19:02:42.981335+00;2017-02-20 16:39:06.384736+00;true;\0;01/12/2014;\0;1832;\0;\0;\0;22;\0;1832;1080;\0
35;2016-11-11 19:02:41.330818+00;2017-02-23 18:54:40.542561+00;true;\0;01/12/2014;\0;1792;\0;\0;\0;17;\0;1792;1019;\0
